customer_id,name,dob,gender,city,join_date,status,email,phone_number,preferred_channel,occupation,income_range,risk_segment
101, ruby harris,1999-05-06,M,Birmingham,2023-07-18,Inactive,ruby.harris101@example.com,+44 7951296211,Online,Consultant,Medium,High
102,grace baker,2005-08-06,M,Cardiff,2023-04-27,Inactive,grace.baker102@example.com,+44 7037818052,ATM,Nurse,High,Low
103,Charlie Johnson,1961-11-24,,Birmingham,2023-07-31,Active,charlie.johnson103@example.com,07lgoIfkhKl,Branch,Consultant,High,High
104,Charlie White,1978-10-21,M,Sheffield,2023-09-07,Active,charlie.white104@example.com,+44 7396753759,Online,Sales,Low,High
105,Amelia Davies,1986-12-28,F,Glasgow,2025-01-15,Inactive,amelia.davies105@example.com,+44 7338221195,Branch,,Low,Medium
106,Theo Wilson,1982-02-01,M,Edinburgh,2023-09-26,Active,theo.wilson106@example.com,+44 7087947034,Branch,Manager,Medium,Medium
107,Arthur Thomas,2004-04-30,M,Birmingham,2023-11-14,Active,arthur.thomas107@example.com,+44 7788435663,MOBILE,Manager,Low,Medium
108,Thomas Davies,1976-12-24,F,Bristol,2023-07-22,Active,thomas.davies108@example.com,+44 7585126587,,Designer,High,High
109,George Williams,1967-04-11,F,Manchester,2023-05-29,Active,george.williams109@example.com,+44 7595213691,Branch,Developer,Medium,Medium
110,Theo Lewis,1981-12-05,F,Sheffield,2023-01-11,Inactive,theo.lewis110@example.com,+44 7155523996,Online,Nurse,Low,High
111,Noah Robinson,1964-11-07,M,Glasgow,2023-06-09,Inactive,user@@example.com,+44 7430468539,Online,Developer,Low,Unknown
112,Grace Evans,1980-03-05,F,Sheffield,2023-04-27,Active,grace.evans112@example.com,+44 7971176882,Online,Manager,Medium,Medium
113,Lily King,1982-09-01,,Cardiff,2023-08-04,Inactive,lily.king113@example.com,+44 7640108465,Online,Nurse,High,Low
114,Ruby Roberts,1991-08-10,,Manchester,2023-12-03,Inactive,ruby.roberts114@example.com,+44 7286536207,Online,,Very High,Low
115, George Lee,1966-07-22,F,Birmingham,2023-04-11,inactive,george.lee115@example.com,+44 7819736579,ATM,Analyst,Medium,Low
116,Oliver Hall,1998-10-26,M,Edinburgh,2023-07-11,Active,oliver.hall116@example.com,+44 7665015771,MOBILE,Sales,High,High
117,Alfie Jackson,1967-05-20,F,Manchester,2023-01-04,Active,alfie.jackson117@example.com,+44 7254591990,Online,Consultant,Low,Unknown
118,Oscar Lewis,1964-02-14,M,London,2023-06-09,Inactive,oscar.lewis118@example.com,+44 7372058487,Onlne,Teacher,Medium,Medium
119,Isla Walker,2004-06-16,F,Liverpool,2023-01-15,Active,isla.walker119@example.com,+44 7134319971,,Manager,Medium,Medium
120,Jack Brown,1999-02-03,F,Glasgow,2023-10-22,Active,jack.brown120@example.com,+44 7683890825,Branch,Sales,,
121,Lily Smith,2099-12-12,F,Cardiff,2023-08-12,Inactive,lily.smith121@example.com,+44 7716623916,Online,Teacher,High,Medium
122,Rosie Evans,1999-08-16,F,Sheffield,2023-07-02,Inactive,rosie.evans122@example.com,07xxxwetT8W,ATM,Student,Medium,Low
123, MUHAMMAD TAYLOR ,1996-08-08,F,Edinburgh,2023-04-05,Active,muhammad.taylor123@example.com,+44 7763714689,MOBILE,Teacher,Low,Medium
124,Noah Wright,1974-04-15,X,Manchester,2023-04-14,Active,noah.wright124@example.com,+44 7251184224,ATM,Nurse,High,Low
125,evie roberts,2001-02-17,M,Birmingham,2023-09-19,Inactive,evie.roberts125@example.com,+44 7744260249,Branch,Student,Medium,Medium
126,Leo Green,1999-11-06,M,Bristol,2023-09-27,inactive,leo.green126@example.com,+44 7334884770,Branch,,High,Low
127,grace thomas,1960-10-22,M,Bristol,2023-07-16,,grace.thomas127@example.com,+44 7889143957,Branch,Designer,High,Low
128,Theo Taylor,1969-10-08,F,Sheffield,2023-04-30,Active,theo.taylor128@example.com,,Online,Manager,High,High
129, poppy baker ,1970-05-12,M,Glasgow,2023-12-20,Inactive,noemail@.com,+44 7110578951,Branch,Manager,Low,High
130,Lily Johnson,1976-08-12,M,Leeds,2023-11-27,Inactive,lily.johnson130@example.com,+44 7183845198,ATM,Nurse,Medium,Medium
131,George Johnson,1978-02-12,F,bristol,2023-01-26,Inactive,@example.com,+44ABC12345,Online,Consultant,Medium,Low
132,Alfie Lewis,1975-03-26,F,Cardiff,2023-11-04,Active,alfie.lewis132@example.com,+44 7236836420,ATM,Analyst,Medium,Low
133,Evie Wilson,1989-06-27,M,Sheffield,2023-02-15,Inactive,evie.wilson133@example.com,+44 7397493431,Branch,,Low,Medium
134,Leo Green,1800-05-20,F,Cardiff,2023-06-06,Inactive,,+44 7910476776,Branch,Developer,Low,Low
135,Harry Watson,1967-05-21,M,Edinburgh,2023-07-25,Active,harry.watson135@example.com,+44 7978312855,Online,Designer,Medium,High
136,Isla Harris,1982-01-13,M,Leeds,2023-01-21,Active,isla.harris136@example.com,+44 7742961801,ATM,,Medium,Medium
137,Charlie Jones,2003-10-24,M,Leeds,2023-05-22,Active,noemail@.com,+44 7287811950,Online,Teacher,High,Medium
138,Mia Smith,1800-05-12,F,Manchester,2023-04-27,Inactive,@example.com,+44 7393872246,Branch,Sales,High,Medium
