customer_id,name,dob,gender,city,join_date,status,email,phone_number,preferred_channel,occupation,income_range,risk_segment
301,Sophie Johnson,2002-09-26,M,Liverpool,2024-09-14,Inactive,sophie.johnson301@example.com,+44 7732755712,Online,Sales,Low,Unknown
302,Oscar Wright,1968-04-04,,Sheffield,2024-12-02,Active,oscar.wright302@example.com,+44 7683139025,ATM,Engineer,Medium,Medium
303,Theo Smith,1964-10-07,M,Edinburgh,2024-10-16,Inactive,theo.smith303@example.com,+44 7429866639,Online,Engineer,Low,High
304,Ava Smith,1975-02-24,M,London,2024-04-21,Inactive,ava.smith304@example.com,+44 7422780616,Onlne,Consultant,,Low
305,Lily Evans,1991-10-21,,Cardiff,2024-10-23,Inactive,user@@example.com,+44 7999771775,Branch,Consultant,,Medium
306,Thomas Brown,2005-12-16,F,Leeds,2024-06-28,Inactive,thomas.brown306@example.com,+44 7217274912,Branch,Teacher,High,
307,Leo Wright,1982-12-12,M,SHEFFIELD,2024-09-25,Inactive,user@@example.com,+44 7687139594,ATM,Sales,High,Low
308,Lily Cooper,1991-07-17,M,Edinburgh,2024-02-25,Inactive,lily.cooper308@example.com,+44 7868639589,Branch,Nurse,Very High,High
309,Ella Watson,2003-08-15,M,Glasgow,2024-08-22,Inactive,ella.watson309@example.com,+44 7586410185,ATM,Sales,Medium,Low
310,Jacob Roberts,1975-05-09,M,Glasgow,2025-12-21,Active,,+44 7988517065,Branch,Sales,High,Medium
311,Lily Harris,1978-04-07,F,London,2024-08-01,Active,lily.harris311@example.com,+44 7853908958,Branch,Analyst,Low,Low
312,Oliver Green,1974-03-08,F,Glasgow,2024-10-29,Inactive,oliver.green312@example.com,+44 7583297431,Branch,Sales,Low,High
313, alfie robinson ,1976-05-27,M,Sheffield,2024-04-07,Active,alfie.robinson313@example.com,+44 7562040333,Branch,Designer,,Low
314,Oliver King,1963-06-01,,Manchester,2024-06-18,Inactive,oliver.king314@example.com,+44 7542680157,Branch,Nurse,High,Medium
315,Isla Lee,1970-05-01,F,London,2024-08-02,Inactive,isla.lee315@example.com,+44 7896535271,Branch,Developer,Medium,High
